id,title,intro,poster,pubdate,url,rating,genres,star,comment,tags,star_time,card
33456512,涉过愤怒的海,,https://dou.img.lithub.cc/movie/33456512.jpg,2023-11-25(中国大陆),https://movie.douban.com/subject/33456512/,0,"剧情,悬疑,犯罪",4,希望自己对女儿多一点关心和耐心，希望她健康的成长。,,2023-11-25 12:50:01,2023 / 中国大陆 / 剧情 悬疑 犯罪 / 曹保平 / 黄渤 周迅
6796158,铜雀台,,https://dou.img.lithub.cc/movie/6796158.jpg,2012-09-26(中国大陆),https://movie.douban.com/subject/6796158/,5.2,"剧情,古装",3,,,2023-10-19 13:40:11,2012 / 中国大陆 / 剧情 古装 / 赵林山 / 周润发 刘亦菲
2156648,太平天国,,https://dou.img.lithub.cc/movie/2156648.jpg,2000-07-10(中国大陆),https://movie.douban.com/subject/2156648/,6.9,"剧情,历史,战争",4,,,2023-09-17 09:53:13,2000 / 中国大陆 / 剧情 历史 战争 古装 / 陈家林 / 高兰村 王诗槐
6845529,有希望的男人,,https://dou.img.lithub.cc/movie/6845529.jpg,2011-08-25(捷克),https://movie.douban.com/subject/6845529/,7.6,"剧情,喜剧",3,,,2023-09-11 13:56:19,2011 / 捷克 / 剧情 喜剧 / 伊力·维伊德雷克 / 杰里·马哈萨克 波莱克·波利夫卡
2993846,未知电影,,https://dou.img.lithub.cc/movie/2993846.jpg,,https://movie.douban.com/subject/2993846/,0,,4,,,2023-09-11 13:55:07,
19957083,泰迪熊2,,https://dou.img.lithub.cc/movie/19957083.jpg,2015-06-26(美国),https://movie.douban.com/subject/19957083/,6.7,喜剧,3,,,2023-09-11 13:26:44,2015 / 美国 / 喜剧 / 塞思·麦克法兰 / 塞思·麦克法兰 马克·沃尔伯格
3008892,未知电影,,https://dou.img.lithub.cc/movie/3008892.jpg,,https://movie.douban.com/subject/3008892/,0,,4,,,2023-09-10 21:34:47,
1305279,色即是空,,https://dou.img.lithub.cc/movie/1305279.jpg,2002-12-13(韩国),https://movie.douban.com/subject/1305279/,7.3,"喜剧,爱情,情色",4,,,2023-09-10 21:21:39,2002 / 韩国 / 喜剧 爱情 情色 / 尹济均 / 任昌丁 河智苑
1308429,美国派3：美国婚礼,,https://dou.img.lithub.cc/movie/1308429.jpg,2003-08-01(美国),https://movie.douban.com/subject/1308429/,7.1,"喜剧,爱情",4,,,2023-09-10 17:15:42,2003 / 美国 德国 / 喜剧 爱情 / 杰西·迪伦 / 贾森·比格斯 西恩·威廉·斯科特
4745470,未知电影,,https://dou.img.lithub.cc/movie/4745470.jpg,,https://movie.douban.com/subject/4745470/,0,,4,,,2023-09-10 17:15:33,
1305068,美国派2,,https://dou.img.lithub.cc/movie/1305068.jpg,2001-08-10(美国),https://movie.douban.com/subject/1305068/,7.1,"喜剧,爱情",4,,,2023-09-10 17:15:21,2001 / 美国 / 喜剧 爱情 / 詹姆斯·B·罗杰斯 / 贾森·比格斯 托马斯·伊恩·尼古拉斯
1295253,美国派,,https://dou.img.lithub.cc/movie/1295253.jpg,1999-07-09(美国),https://movie.douban.com/subject/1295253/,7.4,"喜剧,爱情",4,,,2023-09-10 17:13:45,1999 / 美国 / 喜剧 爱情 / 克里斯·韦兹 保罗·韦兹 / 贾森·比格斯 克里斯·克莱因
36212744,海豹看看,,https://dou.img.lithub.cc/movie/36212744.jpg,2022-12-01(韩国),https://movie.douban.com/subject/36212744/,9.1,"喜剧,动画",4,,,2023-09-03 18:50:29,2022 / 韩国 / 喜剧 动画 / SEALOOK Official
35593344,奥本海默,,https://dou.img.lithub.cc/movie/35593344.jpg,2023-08-30(中国大陆),https://movie.douban.com/subject/35593344/,8.9,"剧情,传记,历史",4,,,2023-09-02 12:40:05,2023 / 美国 英国 / 剧情 传记 历史 / 克里斯托弗·诺兰 / 基里安·墨菲 艾米莉·布朗特
